nickname,full_name
Dylan Windler,Dylan Windler
JaQuori McLaughlin,JaQuori McLaughlin
John Konchar,John Konchar
Kyle Anderson,Kyle Anderson
Ziaire Williams,Ziaire Williams
Alex Len,Alex Len
Jason Preston,Jason Preston
Kendrick Nunn,Kendrick Nunn
Chris Silva,Chris Silva
Terry Taylor,Terry Taylor
Daniel Oturu,Daniel Oturu
Collin Sexton,Collin Sexton
Greg Brown III,Greg Brown III
Jalen Green,Jalen Green
Landry Shamet,Landry Shamet
Gary Payton II,Gary Payton II
Armoni Brooks,Armoni Brooks
Franz Wagner,Franz Wagner
Isaac Bonga,Isaac Bonga
Patrick Williams,Patrick Williams
Jake Layman,Jake Layman
McKinley Wright IV,McKinley Wright IV
Mikal Bridges,Mikal Bridges
Josh Christopher,Josh Christopher
Harrison Barnes,Harrison Barnes
Anthony Gill,Anthony Gill
Hassan Whiteside,Hassan Whiteside
Jeremiah Robinson-Earl,Jeremiah Robinson-Earl
Kevin Love,Kevin Love
Eric Gordon,Eric Gordon
Kevin Knox II,Kevin Knox II
Tony Snell,Tony Snell
Juancho Hernangomez,Juancho Hernangomez
Josh Green,Josh Green
Johnny Hamilton,Johnny Hamilton
Javonte Smart,Javonte Smart
Payton Pritchard,Payton Pritchard
Michael Carter-Williams,Michael Carter-Williams
Nah'Shon Hyland,Nah'Shon Hyland
Bruno Fernando,Bruno Fernando
Josh Hart,Josh Hart
Cassius Stanley,Cassius Stanley
Jayson Tatum,Jayson Tatum
Jakob Poeltl,Jakob Poeltl
Corey Kispert,Corey Kispert
Kelly Oubre Jr.,Kelly Oubre Jr.
Xavier Sneed,Xavier Sneed
Andre Iguodala,Andre Iguodala
Dwight Powell,Dwight Powell
James Bouknight,James Bouknight
Deandre Ayton,Deandre Ayton
Jonas Valanciunas,Jonas Valanciunas
Luka Doncic,Luka Doncic
Saben Lee,Saben Lee
Davon Reed,Davon Reed
Isaac Okoro,Isaac Okoro
Marcus Smart,Marcus Smart
Scottie Barnes,Scottie Barnes
Serge Ibaka,Serge Ibaka
Devontae Cacok,Devontae Cacok
Mychal Mulder,Mychal Mulder
Kyle Kuzma,Kyle Kuzma
Caleb Martin,Caleb Martin
Rudy Gobert,Rudy Gobert
Brandon Boston Jr.,Brandon Boston Jr.
Jeff Dowtin,Jeff Dowtin
Dennis Schroder,Dennis Schroder
Jahmi'us Ramsey,Jahmi'us Ramsey
Emanuel Terry,Emanuel Terry
Vit Krejci,Vit Krejci
Yuta Watanabe,Yuta Watanabe
Reggie Jackson,Reggie Jackson
Usman Garuba,Usman Garuba
Al Horford,Al Horford
Khem Birch,Khem Birch
Devonte' Graham,Devonte' Graham
Malik Beasley,Malik Beasley
Trendon Watford,Trendon Watford
Tristan Thompson,Tristan Thompson
Myles Turner,Myles Turner
Justise Winslow,Justise Winslow
Leandro Bolmaro,Leandro Bolmaro
Kevin Pangos,Kevin Pangos
Santi Aldama,Santi Aldama
Austin Rivers,Austin Rivers
PJ Dozier,PJ Dozier
